P1	0.0	0.0074	0.8778	0.0146
P2	0.0	0.0068	0.8778	0.0134
P3	0.0	0.0068	0.8889	0.0135
Global	0.0	0.0003	1.0000	0.0006
P1	0.02	0.0070	0.8333	0.0140
P2	0.02	0.0067	0.8667	0.0134
P3	0.02	0.0068	0.8778	0.0134
Global	0.02	0.0003	1.0000	0.0006
P1	0.04	0.0070	0.8333	0.0140
P2	0.04	0.0067	0.8667	0.0134
P3	0.04	0.0068	0.8778	0.0134
Global	0.04	0.0003	1.0000	0.0006
P1	0.06	0.0070	0.8333	0.0140
P2	0.06	0.0067	0.8667	0.0134
P3	0.06	0.0068	0.8778	0.0134
Global	0.06	0.0003	1.0000	0.0006
P1	0.08	0.0070	0.8333	0.0140
P2	0.08	0.0067	0.8667	0.0134
P3	0.08	0.0068	0.8778	0.0134
Global	0.08	0.0003	1.0000	0.0006
P1	0.1	0.0070	0.8333	0.0140
P2	0.1	0.0067	0.8667	0.0134
P3	0.1	0.0068	0.8778	0.0134
Global	0.1	0.0003	1.0000	0.0006
P1	0.12	0.0071	0.8333	0.0140
P2	0.12	0.0068	0.8667	0.0134
P3	0.12	0.0068	0.8778	0.0135
Global	0.12	0.0003	1.0000	0.0006
P1	0.14	0.0071	0.8333	0.0142
P2	0.14	0.0068	0.8667	0.0135
P3	0.14	0.0069	0.8778	0.0136
Global	0.14	0.0003	1.0000	0.0006
P1	0.16	0.0073	0.8333	0.0145
P2	0.16	0.0070	0.8667	0.0138
P3	0.16	0.0070	0.8778	0.0139
Global	0.16	0.0003	1.0000	0.0006
P1	0.18	0.0077	0.8333	0.0152
P2	0.18	0.0073	0.8667	0.0145
P3	0.18	0.0074	0.8778	0.0146
Global	0.18	0.0003	1.0000	0.0006
P1	0.2	0.0084	0.8333	0.0167
P2	0.2	0.0080	0.8667	0.0159
P3	0.2	0.0081	0.8778	0.0160
Global	0.2	0.0003	1.0000	0.0007
P1	0.22	0.0104	0.8333	0.0206
P2	0.22	0.0099	0.8667	0.0196
P3	0.22	0.0099	0.8778	0.0197
Global	0.22	0.0004	1.0000	0.0008
P1	0.24	0.0145	0.8333	0.0286
P2	0.24	0.0137	0.8667	0.0270
P3	0.24	0.0138	0.8778	0.0272
Global	0.24	0.0005	1.0000	0.0011
P1	0.26	0.0225	0.8333	0.0438
P2	0.26	0.0211	0.8667	0.0412
P3	0.26	0.0212	0.8778	0.0414
Global	0.26	0.0009	1.0000	0.0017
P1	0.28	0.0369	0.8333	0.0707
P2	0.28	0.0343	0.8667	0.0660
P3	0.28	0.0344	0.8778	0.0663
Global	0.28	0.0016	1.0000	0.0032
P1	0.3	0.0607	0.8333	0.1131
P2	0.3	0.0558	0.8667	0.1048
P3	0.3	0.0560	0.8778	0.1053
Global	0.3	0.0032	1.0000	0.0064
P1	0.32	0.0902	0.8222	0.1626
P2	0.32	0.0827	0.8556	0.1508
P3	0.32	0.0829	0.8667	0.1513
Global	0.32	0.0061	0.9889	0.0121
P1	0.34	0.1353	0.8222	0.2323
P2	0.34	0.1240	0.8556	0.2166
P3	0.34	0.1244	0.8667	0.2176
Global	0.34	0.0116	0.9889	0.0229
P1	0.36	0.1911	0.8111	0.3093
P2	0.36	0.1716	0.8444	0.2852
P3	0.36	0.1726	0.8556	0.2873
Global	0.36	0.0208	0.9778	0.0408
P1	0.38	0.2509	0.8111	0.3832
P2	0.38	0.2216	0.8444	0.3510
P3	0.38	0.2232	0.8556	0.3540
Global	0.38	0.0345	0.9667	0.0666
P1	0.4	0.3067	0.8111	0.4451
P2	0.4	0.2686	0.8444	0.4075
P3	0.4	0.2702	0.8556	0.4107
Global	0.4	0.0560	0.9667	0.1058
P1	0.42	0.3946	0.8111	0.5309
P2	0.42	0.3423	0.8444	0.4872
P3	0.42	0.3438	0.8556	0.4904
Global	0.42	0.0839	0.9667	0.1544
P1	0.44	0.4479	0.8111	0.5771
P2	0.44	0.3897	0.8444	0.5333
P3	0.44	0.3909	0.8556	0.5366
Global	0.44	0.1193	0.9667	0.2125
P1	0.46	0.4899	0.8111	0.6109
P2	0.46	0.4368	0.8444	0.5758
P3	0.46	0.4375	0.8556	0.5789
Global	0.46	0.1617	0.9667	0.2771
P1	0.48	0.5368	0.8111	0.6460
P2	0.48	0.4872	0.8444	0.6179
P3	0.48	0.4873	0.8556	0.6210
Global	0.48	0.2062	0.9667	0.3398
P1	0.5	0.5854	0.8000	0.6761
P2	0.5	0.5396	0.8333	0.6550
P3	0.5	0.5390	0.8444	0.6580
Global	0.5	0.2713	0.9556	0.4226
P1	0.52	0.6429	0.8000	0.7129
P2	0.52	0.6148	0.8333	0.7075
P3	0.52	0.6129	0.8444	0.7103
Global	0.52	0.3244	0.9444	0.4830
P1	0.54	0.7200	0.8000	0.7579
P2	0.54	0.6944	0.8333	0.7576
P3	0.54	0.6909	0.8444	0.7600
Global	0.54	0.4381	0.9444	0.5986
P1	0.56	0.7500	0.8000	0.7742
P2	0.56	0.7353	0.8333	0.7813
P3	0.56	0.7308	0.8444	0.7835
Global	0.56	0.5280	0.9444	0.6773
P1	0.58	0.7742	0.8000	0.7869
P2	0.58	0.7576	0.8333	0.7937
P3	0.58	0.7525	0.8444	0.7958
Global	0.58	0.6115	0.9444	0.7424
P1	0.6	0.8235	0.7778	0.8000
P2	0.6	0.8202	0.8111	0.8156
P3	0.6	0.8132	0.8222	0.8177
Global	0.6	0.7034	0.9222	0.7981
P1	0.62	0.8333	0.7778	0.8046
P2	0.62	0.8391	0.8111	0.8249
P3	0.62	0.8315	0.8222	0.8268
Global	0.62	0.7477	0.9222	0.8259
P1	0.64	0.8519	0.7667	0.8070
P2	0.64	0.8571	0.8000	0.8276
P3	0.64	0.8488	0.8111	0.8295
Global	0.64	0.7885	0.9111	0.8454
P1	0.66	0.8625	0.7667	0.8118
P2	0.66	0.8675	0.8000	0.8324
P3	0.66	0.8588	0.8111	0.8343
Global	0.66	0.8200	0.9111	0.8632
P1	0.68	0.8625	0.7667	0.8118
P2	0.68	0.8675	0.8000	0.8324
P3	0.68	0.8588	0.8111	0.8343
Global	0.68	0.8367	0.9111	0.8723
P1	0.7	0.8961	0.7667	0.8263
P2	0.7	0.9000	0.8000	0.8471
P3	0.7	0.8902	0.8111	0.8488
Global	0.7	0.8632	0.9111	0.8865
P1	0.72	0.9067	0.7556	0.8242
P2	0.72	0.9103	0.7889	0.8452
P3	0.72	0.9000	0.8000	0.8471
Global	0.72	0.8901	0.9000	0.8950
P1	0.74	0.9067	0.7556	0.8242
P2	0.74	0.9103	0.7889	0.8452
P3	0.74	0.9000	0.8000	0.8471
Global	0.74	0.8901	0.9000	0.8950
P1	0.76	0.9067	0.7556	0.8242
P2	0.76	0.9103	0.7889	0.8452
P3	0.76	0.9000	0.8000	0.8471
Global	0.76	0.8901	0.9000	0.8950
P1	0.78	0.9178	0.7444	0.8221
P2	0.78	0.9211	0.7778	0.8434
P3	0.78	0.9103	0.7889	0.8452
Global	0.78	0.8989	0.8889	0.8939
P1	0.8	0.9306	0.7444	0.8272
P2	0.8	0.9333	0.7778	0.8485
P3	0.8	0.9221	0.7889	0.8503
Global	0.8	0.9195	0.8889	0.9040
P1	0.82	0.9306	0.7444	0.8272
P2	0.82	0.9333	0.7778	0.8485
P3	0.82	0.9221	0.7889	0.8503
Global	0.82	0.9302	0.8889	0.9091
P1	0.84	0.9429	0.7333	0.8250
P2	0.84	0.9452	0.7667	0.8466
P3	0.84	0.9333	0.7778	0.8485
Global	0.84	0.9405	0.8778	0.9080
P1	0.86	0.9429	0.7333	0.8250
P2	0.86	0.9452	0.7667	0.8466
P3	0.86	0.9324	0.7667	0.8415
Global	0.86	0.9390	0.8556	0.8953
P1	0.88	0.9420	0.7222	0.8176
P2	0.88	0.9444	0.7556	0.8395
P3	0.88	0.9315	0.7556	0.8344
Global	0.88	0.9383	0.8444	0.8889
P1	0.9	0.9545	0.7000	0.8077
P2	0.9	0.9565	0.7333	0.8302
P3	0.9	0.9429	0.7333	0.8250
Global	0.9	0.9487	0.8222	0.8810
P1	0.92	0.9531	0.6778	0.7922
P2	0.92	0.9552	0.7111	0.8153
P3	0.92	0.9403	0.7000	0.8025
Global	0.92	0.9474	0.8000	0.8675
P1	0.94	0.9500	0.6333	0.7600
P2	0.94	0.9531	0.6778	0.7922
P3	0.94	0.9375	0.6667	0.7792
Global	0.94	0.9452	0.7667	0.8466
P1	0.96	0.9464	0.5889	0.7260
P2	0.96	0.9492	0.6222	0.7517
P3	0.96	0.9333	0.6222	0.7467
Global	0.96	0.9559	0.7222	0.8228
P1	0.98	0.9608	0.5444	0.6950
P2	0.98	0.9636	0.5889	0.7310
P3	0.98	0.9464	0.5889	0.7260
Global	0.98	0.9531	0.6778	0.7922
P1	1.0	0.9783	0.5000	0.6618
P2	1.0	0.9796	0.5333	0.6906
P3	1.0	0.9600	0.5333	0.6857
Global	1.0	1	0.0000	0
