P1	0.0	0.0074	0.8778	0.0146
P2	0.0	0.0068	0.8778	0.0134
P3	0.0	0.0068	0.8889	0.0135
Global	0.0	0.0003	1.0000	0.0006
P1	0.05	0.0070	0.8333	0.0140
P2	0.05	0.0067	0.8667	0.0134
P3	0.05	0.0068	0.8778	0.0134
Global	0.05	0.0003	1.0000	0.0006
P1	0.1	0.0070	0.8333	0.0140
P2	0.1	0.0067	0.8667	0.0134
P3	0.1	0.0068	0.8778	0.0134
Global	0.1	0.0003	1.0000	0.0006
P1	0.15	0.0072	0.8333	0.0143
P2	0.15	0.0069	0.8667	0.0136
P3	0.15	0.0069	0.8778	0.0137
Global	0.15	0.0003	1.0000	0.0006
P1	0.2	0.0084	0.8333	0.0167
P2	0.2	0.0080	0.8667	0.0159
P3	0.2	0.0081	0.8778	0.0160
Global	0.2	0.0003	1.0000	0.0007
P1	0.25	0.0173	0.8333	0.0338
P2	0.25	0.0163	0.8667	0.0319
P3	0.25	0.0163	0.8778	0.0321
Global	0.25	0.0007	1.0000	0.0014
P1	0.3	0.0607	0.8333	0.1131
P2	0.3	0.0558	0.8667	0.1048
P3	0.3	0.0560	0.8778	0.1053
Global	0.3	0.0032	1.0000	0.0064
P1	0.35	0.1580	0.8111	0.2645
P2	0.35	0.1445	0.8444	0.2468
P3	0.35	0.1450	0.8556	0.2480
Global	0.35	0.0151	0.9778	0.0298
P1	0.4	0.3067	0.8111	0.4451
P2	0.4	0.2686	0.8444	0.4075
P3	0.4	0.2702	0.8556	0.4107
Global	0.4	0.0560	0.9667	0.1058
P1	0.45	0.4679	0.8111	0.5935
P2	0.45	0.4130	0.8444	0.5547
P3	0.45	0.4140	0.8556	0.5580
Global	0.45	0.1372	0.9667	0.2403
P1	0.5	0.5854	0.8000	0.6761
P2	0.5	0.5396	0.8333	0.6550
P3	0.5	0.5390	0.8444	0.6580
Global	0.5	0.2713	0.9556	0.4226
P1	0.55	0.7347	0.8000	0.7660
P2	0.55	0.7075	0.8333	0.7653
P3	0.55	0.7037	0.8444	0.7677
Global	0.55	0.4885	0.9444	0.6439
P1	0.6	0.8235	0.7778	0.8000
P2	0.6	0.8202	0.8111	0.8156
P3	0.6	0.8132	0.8222	0.8177
Global	0.6	0.7034	0.9222	0.7981
P1	0.65	0.8519	0.7667	0.8070
P2	0.65	0.8571	0.8000	0.8276
P3	0.65	0.8488	0.8111	0.8295
Global	0.65	0.7961	0.9111	0.8497
P1	0.7	0.8961	0.7667	0.8263
P2	0.7	0.9000	0.8000	0.8471
P3	0.7	0.8902	0.8111	0.8488
Global	0.7	0.8632	0.9111	0.8865
P1	0.75	0.9067	0.7556	0.8242
P2	0.75	0.9103	0.7889	0.8452
P3	0.75	0.9000	0.8000	0.8471
Global	0.75	0.8901	0.9000	0.8950
P1	0.8	0.9306	0.7444	0.8272
P2	0.8	0.9333	0.7778	0.8485
P3	0.8	0.9221	0.7889	0.8503
Global	0.8	0.9195	0.8889	0.9040
P1	0.85	0.9429	0.7333	0.8250
P2	0.85	0.9452	0.7667	0.8466
P3	0.85	0.9324	0.7667	0.8415
Global	0.85	0.9398	0.8667	0.9017
P1	0.9	0.9545	0.7000	0.8077
P2	0.9	0.9565	0.7333	0.8302
P3	0.9	0.9420	0.7222	0.8176
Global	0.9	0.9487	0.8222	0.8810
P1	0.95	0.9492	0.6222	0.7517
P2	0.95	0.9516	0.6556	0.7763
P3	0.95	0.9365	0.6556	0.7712
Global	0.95	0.9437	0.7444	0.8323
P1	1.0	0.9783	0.5000	0.6618
P2	1.0	0.9796	0.5333	0.6906
P3	1.0	0.9600	0.5333	0.6857
Global	1.0	1	0.0000	0
